REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tmpxybiduhj.wav	 /tmp/tmppq4v21kb.wav	 -1.000	 2.622	 16000	wb
/tmp/tmpubpin66h.wav	 /tmp/tmp_524pssj.wav	 -1.000	 1.053	 16000	wb
/tmp/tmp2lpl6cta.wav	 /tmp/tmpbve8geqn.wav	 -1.000	 2.295	 16000	wb
/tmp/tmpleqb6d1r.wav	 /tmp/tmp9lcghm9v.wav	 -1.000	 2.153	 16000	wb
/tmp/tmprzq_1nyg.wav	 /tmp/tmp8loufxuv.wav	 -1.000	 2.667	 16000	wb
/tmp/tmpc5fdajbe.wav	 /tmp/tmp0n7ygw5v.wav	 -1.000	 2.923	 16000	wb
/tmp/tmphwrwxtma.wav	 /tmp/tmpu4rvc__z.wav	 -1.000	 1.044	 16000	wb
/tmp/tmp_sy_d79h.wav	 /tmp/tmp4z2tb4j1.wav	 -1.000	 1.568	 16000	wb
/tmp/tmp4m5g1lyv.wav	 /tmp/tmp4vg65l4z.wav	 -1.000	 1.089	 16000	wb
/tmp/tmp0ehw3e5x.wav	 /tmp/tmpuofkldfv.wav	 -1.000	 2.166	 16000	wb
/tmp/tmpwi9zpqh7.wav	 /tmp/tmphf8a2uo_.wav	 -1.000	 1.921	 16000	wb
/tmp/tmplz1ifddl.wav	 /tmp/tmpp70scsrv.wav	 -1.000	 2.405	 16000	wb
/tmp/tmp8t2paqet.wav	 /tmp/tmpw83ohicl.wav	 -1.000	 1.828	 16000	wb
/tmp/tmp43lvt6ik.wav	 /tmp/tmpbj7ly3xv.wav	 -1.000	 3.011	 16000	wb
/tmp/tmp8v8w_fsb.wav	 /tmp/tmpazw_1fom.wav	 -1.000	 1.201	 16000	wb
/tmp/tmpxjj78kzx.wav	 /tmp/tmpegxmigui.wav	 -1.000	 2.607	 16000	wb
/tmp/tmp909o5uvm.wav	 /tmp/tmpr5v5qxlj.wav	 -1.000	 2.021	 16000	wb
/tmp/tmpe_8mfeoh.wav	 /tmp/tmplr0vonhy.wav	 -1.000	 3.261	 16000	wb
/tmp/tmpxepyga2r.wav	 /tmp/tmp3u4ddi5h.wav	 -1.000	 1.427	 16000	wb
/tmp/tmp5js0hm_b.wav	 /tmp/tmpz0qltrk1.wav	 -1.000	 1.973	 16000	wb
/tmp/tmpbeon0acr.wav	 /tmp/tmp5jdnoyra.wav	 -1.000	 2.735	 16000	wb
/tmp/tmpg1zbnh1f.wav	 /tmp/tmph0asd0kf.wav	 -1.000	 2.756	 16000	wb
/tmp/tmpj41gcf88.wav	 /tmp/tmpcf6w8gw_.wav	 -1.000	 3.022	 16000	wb
/tmp/tmp7qtsvw_v.wav	 /tmp/tmpj1239663.wav	 -1.000	 2.438	 16000	wb
/tmp/tmp3evcqe0v.wav	 /tmp/tmpuxiio_t1.wav	 -1.000	 1.828	 16000	wb
/tmp/tmpb9zgnl1q.wav	 /tmp/tmpekx4puf_.wav	 -1.000	 1.228	 16000	wb
/tmp/tmpwo1j4e2d.wav	 /tmp/tmpiygyz19q.wav	 -1.000	 2.516	 16000	wb
/tmp/tmpueac5zpn.wav	 /tmp/tmpr5jkv7o6.wav	 -1.000	 2.516	 16000	wb
/tmp/tmp8qexnzbl.wav	 /tmp/tmpojwdp522.wav	 -1.000	 3.273	 16000	wb
/tmp/tmpbtz3ypuc.wav	 /tmp/tmp8vgapgzz.wav	 -1.000	 2.917	 16000	wb
/tmp/tmpczdxxqc6.wav	 /tmp/tmpg4l1d_4m.wav	 -1.000	 1.054	 16000	wb
/tmp/tmphxk258cl.wav	 /tmp/tmpzr97f0mz.wav	 -1.000	 2.572	 16000	wb
/tmp/tmpyhygpkuv.wav	 /tmp/tmppzqkuz76.wav	 -1.000	 2.751	 16000	wb
/tmp/tmp_js5iwtr.wav	 /tmp/tmp_79jbrfd.wav	 -1.000	 1.691	 16000	wb
/tmp/tmpqzjlr1yi.wav	 /tmp/tmppegahl6o.wav	 -1.000	 2.136	 16000	wb
/tmp/tmpmzdf0v4w.wav	 /tmp/tmp484o4nxs.wav	 -1.000	 3.013	 16000	wb
/tmp/tmpdy3iyk2a.wav	 /tmp/tmpd_36m0wa.wav	 -1.000	 1.805	 16000	wb
/tmp/tmp8ehy7dhi.wav	 /tmp/tmpqz5zu31n.wav	 -1.000	 1.753	 16000	wb
/tmp/tmp54_3y7cq.wav	 /tmp/tmpekflx6p2.wav	 -1.000	 2.102	 16000	wb
/tmp/tmpru6flnws.wav	 /tmp/tmps1l_d28x.wav	 -1.000	 1.034	 16000	wb
/tmp/tmpl0blpfl3.wav	 /tmp/tmpktoiv3rb.wav	 -1.000	 2.896	 16000	wb
/tmp/tmpoqexsxgg.wav	 /tmp/tmp0_ky3jxf.wav	 -1.000	 2.924	 16000	wb
/tmp/tmpp7afyn61.wav	 /tmp/tmp0a9__s67.wav	 -1.000	 2.285	 16000	wb
/tmp/tmpc_3t27wk.wav	 /tmp/tmptk74_zr4.wav	 -1.000	 3.267	 16000	wb
/tmp/tmpe4xia1me.wav	 /tmp/tmp3gc3v8qw.wav	 -1.000	 3.322	 16000	wb
/tmp/tmpwiqn59jk.wav	 /tmp/tmpfsm1unko.wav	 -1.000	 2.479	 16000	wb
/tmp/tmpb7t9zarq.wav	 /tmp/tmpqv6iodmo.wav	 -1.000	 2.584	 16000	wb
/tmp/tmpadk7r7lz.wav	 /tmp/tmpc3sajoe7.wav	 -1.000	 2.051	 16000	wb
/tmp/tmpk_pc07ij.wav	 /tmp/tmpf_rc6323.wav	 -1.000	 1.538	 16000	wb
/tmp/tmpay5l0yc2.wav	 /tmp/tmpcjx7_3qs.wav	 -1.000	 2.266	 16000	wb
/tmp/tmpym91llt7.wav	 /tmp/tmppp06e3sq.wav	 -1.000	 1.125	 16000	wb
/tmp/tmpnu2simnn.wav	 /tmp/tmpp17jp91w.wav	 -1.000	 2.254	 16000	wb
/tmp/tmp37gsors2.wav	 /tmp/tmp61ip7d6m.wav	 -1.000	 2.260	 16000	wb
/tmp/tmpj1kld0e6.wav	 /tmp/tmp66s5wcbn.wav	 -1.000	 1.613	 16000	wb
/tmp/tmpfz6j2cd2.wav	 /tmp/tmpffm0uz6w.wav	 -1.000	 2.153	 16000	wb
/tmp/tmp0xtdlpio.wav	 /tmp/tmpyua135pl.wav	 -1.000	 2.620	 16000	wb
/tmp/tmp64uk1vaj.wav	 /tmp/tmp2hngkzyd.wav	 -1.000	 2.506	 16000	wb
/tmp/tmp6klz97wh.wav	 /tmp/tmpnu4etdh0.wav	 -1.000	 1.745	 16000	wb
/tmp/tmp0y7q_lgi.wav	 /tmp/tmpw3fvks_i.wav	 -1.000	 2.106	 16000	wb
/tmp/tmp3gynj6z2.wav	 /tmp/tmpawdydcsw.wav	 -1.000	 1.042	 16000	wb
/tmp/tmpok3abi94.wav	 /tmp/tmpjnlk9_nr.wav	 -1.000	 2.795	 16000	wb
/tmp/tmpxwdy7g6i.wav	 /tmp/tmpw63mrpm_.wav	 -1.000	 1.049	 16000	wb
/tmp/tmpk1gai4k5.wav	 /tmp/tmpbuahoouu.wav	 -1.000	 2.085	 16000	wb
/tmp/tmp2chhilfo.wav	 /tmp/tmpcxgpu06p.wav	 -1.000	 2.489	 16000	wb
/tmp/tmppa4ynnrp.wav	 /tmp/tmpjcgixg09.wav	 -1.000	 2.479	 16000	wb
/tmp/tmpkg42jd1a.wav	 /tmp/tmpazaas9zf.wav	 -1.000	 3.243	 16000	wb
/tmp/tmpkkms23xe.wav	 /tmp/tmpns9xq_u1.wav	 -1.000	 2.722	 16000	wb
